WikiData QID	parent	ML_ID	label	description	wiktionary
Q618563		ML_RHETORIC_APHERESIS	apheresis	The removal or omission of the initial sound or syllable from a word. Examples in English are [_scarp_](https://en.wiktionary.org/wiki/scarp#English) from earlier [_escarp_](https://en.wiktionary.org/wiki/escarp#English), and colloquial [_splain_](https://en.wiktionary.org/wiki/splain#English) from [_explain_](https://en.wiktionary.org/wiki/explain#English).	https://en.wiktionary.org/wiki/apheresis
Q112154		ML_RHETORIC_APOCOPE	apocope	The omission of the last letter or syllable of a word.	https://en.wiktionary.org/wiki/apocope
Q618703	ML_RHETORIC_APOPHASIS	apophasis, apophesis		
Q261262		ML_RHETORIC_APORIA	aporia	An attempt to discredit an opposing viewpoint by casting doubt on it.	https://en.wiktionary.org/wiki/aporia
Q619760		ML_RHETORIC_APOSIOPESIS	aposiopesis	An abrupt stop in the middle of a sentence; used by a speaker to convey unwillingness or inability to complete a thought or statement.	https://en.wiktionary.org/wiki/aposiopesis
Q436048		ML_RHETORIC_APOSTROPHE	apostrophe	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek) [_ἀποστροφή_](https://en.wiktionary.org/wiki/%E1%BC%80%CF%80%CE%BF%CF%83%CF%84%CF%81%CE%BF%CF%86%CE%AE#Ancient_Greek) (apostrophḗ). A figure of speech consisting of a sudden turn in a text towards an exclamatory address to an imaginary person or a thing.	https://en.wiktionary.org/wiki/apostrophe
Q4959031		ML_RHETORIC_APPELLATE-COURT	appellate court		
Q18595825		ML_RHETORIC_ARETE	Arete	Virtue, excellence of character, qualities that would be inherent in a "natural leader," a component of _ethos_.	https://en.wiktionary.org/wiki/arete
Q186619		ML_RHETORIC_ARGUMENT	argument	Discourse characterized by reasons advanced to support conclusions.	https://en.wiktionary.org/wiki/argument
Q752275		ML_RHETORIC_ARGUMENTUM-AD-BACULUM	argumentum ad baculum	Settling a question by appealing to force.	https://en.wiktionary.org/wiki/argumentum_ad_baculum
Q777939		ML_RHETORIC_ARROGANCE	arrogance		
Q137711384		ML_RHETORIC_ARS-ARENGANDI	ars arengandi	Teaching of forensic speaking during the Medieval rhetorical era.	https://en.wiktionary.org/wiki/ars_arengandi
Q56304068		ML_RHETORIC_ARS-PRAEDICANDI	ars praedicandi	The art of preaching based on rhetorical ideas and introduced during the Medieval rhetorical era during an increasing intersection between rhetoric and religion.	https://en.wiktionary.org/wiki/ars_praedicandi
Q9160460		ML_RHETORIC_ART-OF-POETRY	art of poetry		
Q1406161		ML_RHETORIC_ARTISTIC-THEME	artistic theme		
Q747668		ML_RHETORIC_ASYNDETON	asyndeton	The deliberate omission of [conjunctions](https://en.wiktionary.org/wiki/conjunction) that would normally be used.	https://en.wiktionary.org/wiki/asyndeton
Q211198		ML_RHETORIC_AUDIENCE	audience	Real, imagined, invoked, or ignored, this is a concept that seems to be at the very center of the intersections of composing and rhetoric.	https://en.wiktionary.org/wiki/audience
Q2873202		ML_RHETORIC_AUXESIS	auxesis	To place words or phrases in a certain order to obtain a climactic effect, or to use a word or phrase which disproportionately amplifies something actually of a lesser nature.	https://en.wiktionary.org/wiki/auxesis
Q50808388		ML_RHETORIC_AXIOMS	axioms	The point where scientific reasoning starts. Principles that are not questioned.	https://en.wiktionary.org/wiki/axioms
Q720113		ML_RHETORIC_BARBARISM	barbarism		
Q2886750		ML_RHETORIC_BASES-DE-MANRESA	Bases de Manresa		
Q43247602		ML_RHETORIC_BATHOSELLA	Bathosella		
Q136383617	ML_RHETORIC_BDELYGMA	bdelygma	Expression of hatred or contempt.	https://en.wiktionary.org/wiki/bdelygma
Q4940904		ML_RHETORIC_BOMPHIOLOGIA	Bomphiologia	Bombastic speech.	https://en.wiktionary.org/wiki/bomphiologia
Q640423		ML_RHETORIC_BRACHYLOGY	brachylogy		
Q1253840		ML_RHETORIC_BREVITAS	brevitas	Concise expression.	https://en.wiktionary.org/wiki/brevitas
Q122382956		ML_RHETORIC_BURDEN-OF-PROOF	burden of proof	Theory of argument giving the obligation of proving a case to the challenging party.	https://en.wiktionary.org/wiki/burden_of_proof
Q63554165		ML_RHETORIC_CANON	canon	A term often used to discuss significant literary works in a specific field, used by [Cicero](https://en.wiktionary.org/wiki/Cicero) to outline five significant parts of the rhetorical composition process.	https://en.wiktionary.org/wiki/canon
Q1049386	ML_RHETORIC_CAPTATIO-BENEVOLUNTATIAE	captatio benevoluntatiae	From [Latin](https://en.wikipedia.org/wiki/Latin). The part of a letter which secures the goodwill of the recipient.	https://en.wiktionary.org/wiki/captatio_benevoluntatiae
Q582726		ML_RHETORIC_CATACHRESIS	catachresis	The inexact use of a similar word in place of the proper one to create an unlikely metaphor. For example (from _Rhetorica ad Herennium_), "'The power of man is short'" or "'the long wisdom in the man.'"	https://en.wiktionary.org/wiki/catachresis
Q2574811		ML_RHETORIC_CAUSE	cause		
Q5074396		ML_RHETORIC_CHARISMA	charisma	An attribute that allows a speaker's words to become powerful.	https://en.wiktionary.org/wiki/charisma
		ML_RHETORIC_CIRCA-REM	circa rem	From [Latin](https://en.wikipedia.org/wiki/Latin). The circumstances _surrounding the act_ in one Roman topical system.	https://en.wiktionary.org/wiki/circa_rem
Q1095194		ML_RHETORIC_CIRCUMLOCUTION	circumlocution		
Q52000412		ML_RHETORIC_CLIMAX	Climax	Climax occurs when words or sentences are used to increase weight by mounting degrees in parallel construction.	https://en.wiktionary.org/wiki/climax
Q5982337		ML_RHETORIC_COLON	colon	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek) [_κῶλον_](https://en.wiktionary.org/wiki/%CE%BA%E1%BF%B6%CE%BB%CE%BF%CE%BD#Ancient_Greek) (kôlon). A rhetorical figure consisting of a clause which is grammatically, but not logically, complete.	https://en.wiktionary.org/wiki/colon
Q721747		ML_RHETORIC_COMMEMORATIVE-PLAQUE	commemorative plaque		
Q332880		ML_RHETORIC_COMMON-SENSE	common sense		
Q53989261		ML_RHETORIC_COMMON-TOPICS-IN-EIGHTEENTH-CENTURY-PREFACES-TO-ENGLISH-SCHOOL-GRAMMARS:-AN-APPLICATION-OF-THE-ECEG-DATABASE	Common topics in eighteenth-century prefaces to English school grammars: an application of the ECEG database		
Q378097		ML_RHETORIC_COMMUNION	communion		
Q2791145		ML_RHETORIC_COMPOSITION-STUDIES	composition studies		
Q327209		ML_RHETORIC_CONCESSION	concession	Acknowlededment of objections to a proposal.	https://en.wiktionary.org/wiki/concession
Q188613		ML_RHETORIC_CONFIRMATION	confirmation		
Q1125478		ML_RHETORIC_CONFUTATIO-AUGUSTANA	Confutatio Augustana		
Q135014683		ML_RHETORIC_CONSTRAINTS	Constraints	Referring to "persons, events, objects, and relations which are parts of the situation because they have the power to constrain decision and action needed to modify the exigence." Originally used by [Lloyd Bitzer](https://en.wikipedia.org/wiki/Lloyd_Bitzer).	https://en.wiktionary.org/wiki/constraints
Q7188981		ML_RHETORIC_CONSUBSTANTIALITY	Consubstantiality	Substance commonality.	https://en.wiktionary.org/wiki/consubstantiality
Q1123462		ML_RHETORIC_CONTEXT	ConTeXt	The circumstances surrounding an issue that should be considered during its discussion.	https://en.wiktionary.org/wiki/context
Q122314017		ML_RHETORIC_CONTINGENCY	CONTINGENCY	In rhetoric, it relates to the contextual circumstances that do not allow an issue to be settled with complete certainty.	https://en.wiktionary.org/wiki/contingency
Q128767372		ML_RHETORIC_CONVERSATION-MODELING-ON-REDDIT-USING-A-GRAPH-STRUCTURED-LSTM	Conversation Modeling on Reddit Using a Graph-Structured LSTM		
Q1051355		ML_RHETORIC_CONVERSION-DISORDER	conversion disorder		
Q38695		ML_RHETORIC_COOKING	cooking		
Q2995866		ML_RHETORIC_COUNTERARGUMENT	counterargument		
Q1530061		ML_RHETORIC_CREDIBILITY	credibility		
Q301751		ML_RHETORIC_CRITICAL-SOCIOLOGY	critical sociology		
Q22983		ML_RHETORIC_DATA	Data	Initial evidence supporting a claim. ([Stephen Toulmin](https://en.wikipedia.org/wiki/Stephen_Toulmin))	https://en.wiktionary.org/wiki/data
Q3704137		ML_RHETORIC_DE-OPTIMO-GENERE-ORATORUM	De Optimo Genere Oratorum		
Q56404555		ML_RHETORIC_DECONSTRUCTION	deconstruction	Analyzing communication artifacts by scrutinizing their meanings and related assumptions, with the goal of determining the social and systemic connotations behind their structure.	https://en.wiktionary.org/wiki/deconstruction
Q18450032		ML_RHETORIC_DELECTARE	Delectare	To delight; viewed by [Cicero](https://en.wikipedia.org/wiki/Cicero) as one of the three goals of rhetoric.	https://en.wiktionary.org/wiki/delectare
Q37008247		ML_RHETORIC_DEMOS	Demos	The population of an ancient Greek state, considered a political entity; population; the common people.	https://en.wiktionary.org/wiki/demos
Q9453		ML_RHETORIC_DIALECTIC	dialectic	A rhetorical term that has been defined differently by Aristotle and Ramus, among others; generally, it means using verbal communication between people to discuss topics in order to come to an agreement about them.	https://en.wiktionary.org/wiki/dialectic
Q11694112		ML_RHETORIC_DIALLAGE	diallage	Establishing a single point with the use of several arguments.	https://en.wiktionary.org/wiki/diallage
Q3322847		ML_RHETORIC_DISPOSITIO	dispositio	In the classical theory of the production of speech ([pronuntiatio](https://en.wiktionary.org/wiki/pronuntiatio)), dispositio refers to the stage of planning the structure and sequence of ideas. Often referred to as arrangement, the second of [Cicero](https://en.wikipedia.org/wiki/Cicero)'s five rhetorical canons.	https://en.wiktionary.org/wiki/dispositio
Q3710346		ML_RHETORIC_DISSOI-LOGOI	Dissoi Logoi	Contradictory arguments.	https://en.wiktionary.org/wiki/dissoi_logoi
Q16829905		ML_RHETORIC_DOCERE	Docere	To teach; viewed by [Cicero](https://en.wikipedia.org/wiki/Cicero) as one of the three goals of rhetoric.	https://en.wiktionary.org/wiki/docere
Q5305774		ML_RHETORIC_DRAMATISTIC-PENTAD	Dramatistic pentad		
Q844782		ML_RHETORIC_DYSPHEMISM	dysphemism	A term with negative associations for something in reality fairly innocuous or inoffensive.	https://en.wiktionary.org/wiki/dysphemism
Q788419		ML_RHETORIC_ECPHONESIS	ecphonesis	A sentence consisting of a single word or short phrase ending with an [exclamation point](https://en.wiktionary.org/wiki/exclamation_point).	https://en.wiktionary.org/wiki/ecphonesis
Q3330405		ML_RHETORIC_ELOCUTIO	elocutio	In the classical theory of the production of a speech ([pronuntiatio](https://en.wiktionary.org/wiki/pronuntiatio)), elocution refers to the stage of elaborating the wording of a text, using correct grammar and diction.	https://en.wiktionary.org/wiki/elocutio
Q12769393		ML_RHETORIC_END	end		
Q422913		ML_RHETORIC_ENTHYMEME	enthymeme	A type of argument that is grounded in assumed commonalities between a rhetor and the audience. For example, "(claim 1) Bob is a person. Therefore, (claim 3) Bob is mortal." The assumption (unstated claim 2) is that "People are mortal." A type of [syllogism](https://en.wiktionary.org/wiki/syllogism). Started by [Aristotle](https://en.wikipedia.org/wiki/Aristotle).	https://en.wiktionary.org/wiki/enthymeme
Q1346372	ML_RHETORIC_EPANAPHORA	epanaphora	In rhetoric, repeating the same word or phrase at the beginning of successive phrases for emphasis. For example (from [_Rhetorica ad Herennium_](https://en.wikipedia.org/wiki/Rhetorica_ad_Herennium)), "'To you must go the credit for this, to you are thanks due, to you will this act of yours bring glory.'"	https://en.wiktionary.org/wiki/epanaphora
Q1346967		ML_RHETORIC_EPIDEICTIC	epideictic	Ceremonial rhetoric, such as might be found in a funeral or victory speech.	https://en.wiktionary.org/wiki/epideictic
Q591966		ML_RHETORIC_EPIPHORA	epiphora	The repetition of a phrase or word at the end of several sentences or clauses. Also see anaphora.	https://en.wiktionary.org/wiki/epiphora
Q9471		ML_RHETORIC_EPISTEMOLOGY	epistemology	Philosophical study directed at understanding how people gain knowledge.	https://en.wiktionary.org/wiki/epistemology
Q1937845		ML_RHETORIC_EPISTROPHE	epistrophe	A succession of clauses, phrases or sentences that all end with the same word or group of words.	https://en.wiktionary.org/wiki/epistrophe
Q207869		ML_RHETORIC_EPITHET	epithet	A term used as a descriptive and qualifying substitute for the name of a person, place or thing.	https://en.wiktionary.org/wiki/epithet
Q1953281		ML_RHETORIC_EPIZEUXIS	epizeuxis	Emphasizing an idea using one word repetition.	https://en.wiktionary.org/wiki/epizeuxis
Q3591979		ML_RHETORIC_ETHOPOEIA	ethopoeia	The act of putting oneself into the character of another to convey that persons feelings and thoughts more vividly.	https://en.wiktionary.org/wiki/ethopoeia
Q83464		ML_RHETORIC_EUPHEMISM	euphemism	An innocuous, inoffensive or circumlocutory term or phrase for something unpleasant or obscene.	https://en.wiktionary.org/wiki/euphemism
Q176763		ML_RHETORIC_EVIDENCE	evidence	In rhetoric, facts or testimony used to strengthen a claim.	https://en.wiktionary.org/wiki/evidence
Q1993117		ML_RHETORIC_EXEMPLUM	exemplum	The citation of an example, either truthful or fictitious.	https://en.wiktionary.org/wiki/exemplum
Q25221914		ML_RHETORIC_EXIGENCE	exigence	A rhetorical call to action; a situation that compels someone to speak out.	https://en.wiktionary.org/wiki/exigence
Q1384158		ML_RHETORIC_EXORDIUM	exordium	From [Latin](https://en.wikipedia.org/wiki/Latin) [_exordium_](https://en.wiktionary.org/wiki/exordium#Latin) (“[beginning](https://en.wiktionary.org/wiki/beginning)”). The introductory portion of an [oration](https://en.wiktionary.org/wiki/oration).	https://en.wiktionary.org/wiki/exordium
Q4481574		ML_RHETORIC_FACETIAE	facetiae	From [Latin](https://en.wikipedia.org/wiki/Latin). Humor or wit.	https://en.wiktionary.org/wiki/facetiae
Q13226383		ML_RHETORIC_FACILITY	facility		
Q5429092		ML_RHETORIC_FACULTY-PSYCHOLOGY	faculty psychology	The mind contains faculties that include understanding, imagination, passion, and will. (18th century)	https://en.wiktionary.org/wiki/faculty_psychology
Q2581738		ML_RHETORIC_FALSE-CONSCIOUSNESS	False consciousness	A distorted view of reality, people, and the world. ([Jurgen Habermas](https://en.wikipedia.org/wiki/Jurgen_Habermas)).	https://en.wiktionary.org/wiki/false_consciousness
Q55611560		ML_RHETORIC_FEMINIST-RHETORIC	Feminist rhetoric	Rhetorical theory concerned with feminism and its critique of social structures.	https://en.wiktionary.org/wiki/feminist_rhetoric
Q8253		ML_RHETORIC_FICTION	fiction		
Q48311426		ML_RHETORIC_FIELD-DEPENDENT-TRANSVERSE-RELAXATION-RATE-INCREASE-MAY-BE-A-SPECIFIC-MEASURE-OF-TISSUE-IRON-STORES	Field dependent transverse relaxation rate increase may be a specific measure of tissue iron stores		
		ML_RHETORIC_FIELD-INVARIANT	field-invariant	Standards for assessing arguments that are not determined by the particular field. ([Stephen Toulmin](https://en.wikipedia.org/wiki/Stephen_Toulmin))	https://en.wiktionary.org/wiki/field-invariant
Q29527347		ML_RHETORIC_FIGURE	figure	Unusual arrangement of language that tries to achieve unique meaning for ideas.	https://en.wiktionary.org/wiki/figure
Q58606280		ML_RHETORIC_FORENSIC-ORATORY-AND-THE-JURY-TRIAL-IN-NINETEENTH-CENTURY-AMERICA	Forensic oratory and the jury trial in nineteenth-century America		
Q962165		ML_RHETORIC_FORMAL-FALLACY	formal fallacy		
Q83460		ML_RHETORIC_GENERAL	general		
Q37476917		ML_RHETORIC_GENS	Gens	From [Latin](https://en.wikipedia.org/wiki/Latin). An influential group of families.	https://en.wiktionary.org/wiki/gens
Q131476263		ML_RHETORIC_GRAECISMUS	graecismus	The use of Greek idiom.	https://en.wiktionary.org/wiki/graecismus
Q102686		ML_RHETORIC_HERMENEUTICS	hermeneutics	The theoretical underpinnings of interpreting texts, usually religious or literary.	https://en.wiktionary.org/wiki/hermeneutics
Q3068733		ML_RHETORIC_HETEROGLOSSIA	heteroglossia	The many prolific languages of any culture.	https://en.wiktionary.org/wiki/heteroglossia
Q201413		ML_RHETORIC_HEURISTIC	heuristic		
Q932406		ML_RHETORIC_HOMEOTELEUTON	homeoteleuton		
		ML_RHETORIC_HOMIOLOGIA	homiologia	A tedious style or redundancy of style.	https://en.wiktionary.org/wiki/homiologia
Q181036		ML_RHETORIC_HYPERBOLE	hyperbole	A figure of speech where emphasis is achieved through exaggeration, independently or through comparison. For example (from _Rhetorica ad Herennium_), "'His body was as white as snow, his face burned like fire.'"	https://en.wiktionary.org/wiki/hyperbole
Q1641379		ML_RHETORIC_HYPOPHORA	hypophora	When a speaker asks aloud what their adversaries have to say for themselves or against the speaker, and then proceeds to answer the question. For example (from [_Rhetorica ad Herennium_](https://en.wikipedia.org/wiki/Rhetorica_ad_Herennium)), "'When he reminded you of your old friendship, were you moved? No, you killed him nevertheless, and with even greater eagerness. And then when his children grovelled at your feet, were you moved to pity? No, in your extreme cruelty you even prevented their father's burial.'"	https://en.wiktionary.org/wiki/hypophora
Q41719		ML_RHETORIC_HYPOTHESIS	hypothesis	An educated guess.	https://en.wiktionary.org/wiki/hypothesis
Q16938453		ML_RHETORIC_HYPOZEUXIS	hypozeuxis	A sentence in which every clause has its own subject and verb.	https://en.wiktionary.org/wiki/hypozeuxis
Q2250272		ML_RHETORIC_HYPSOSINGA	hypsosinga		
Q132137		ML_RHETORIC_ICON	icon	Using imagery to create resemblance.	https://en.wiktionary.org/wiki/icon
Q2493413		ML_RHETORIC_IDENTIFICATION	identification	Connecting with a larger group through a shared interpretation or understanding of a larger concept; [Kenneth Burke](https://en.wikipedia.org/wiki/Kenneth_Burke) was one of the first people to use the term in this way.	https://en.wiktionary.org/wiki/identification
Q7257		ML_RHETORIC_IDEOLOGY	ideology	A way of understanding one's external surroundings.	https://en.wiktionary.org/wiki/ideology
Q1131737		ML_RHETORIC_IMITATION	imitation		
Q2730592		ML_RHETORIC_INDIGNATION	indignation		
Q29887572		ML_RHETORIC_INDUCTION	Induction	Rhetorical method for coming to general conclusions through specific examples.	https://en.wiktionary.org/wiki/induction
		ML_RHETORIC_INSULTATIO	insultatio	Abusing a person to their face by using irony and derisive language.	https://en.wiktionary.org/wiki/insultatio
		ML_RHETORIC_INTERSUBJECTIVE-AGREEMENTS	intersubjective agreements	agreements on the fair conduct of an argument among individuals participating in dialogue.	https://en.wiktionary.org/wiki/intersubjective_agreements
Q48785158		ML_RHETORIC_INVITATIONAL-RHETORIC	Invitational rhetoric	Rhetoric that is not intended to persuade. ([Sonja K. Foss](https://en.wikipedia.org/wiki/Sonja_K._Foss), Cindy L. Griffin)	https://en.wiktionary.org/wiki/invitational_rhetoric
Q131361		ML_RHETORIC_IRONY	irony	A deliberate contrast between indirect and direct meaning to draw attention to the opposite.	https://en.wiktionary.org/wiki/irony
Q737677		ML_RHETORIC_IRRELEVANT-CONCLUSION	irrelevant conclusion		
Q21446657		ML_RHETORIC_ISOCOLON	isocolon	A string of phrases of corresponding structure and equal length.	https://en.wiktionary.org/wiki/isocolon
		ML_RHETORIC_ISSUES-OF-FACT	issues of fact	Issues related to an act's occurrence.	https://en.wiktionary.org/wiki/issues_of_fact
Q17951		ML_RHETORIC_JARGON	jargon	Highly technical language used by specific group.	https://en.wiktionary.org/wiki/jargon
Q109578617		ML_RHETORIC_JIAN-SHI	Jian Shi	From [Chinese](https://en.wikipedia.org/wiki/Chinese_language) [_諫士_](https://en.wiktionary.org/wiki/諫士)／[_谏士_](https://en.wiktionary.org/wiki/谏士) (_jiànshì_). Traveling political advisors common in ancient China.	https://en.wiktionary.org/wiki/jian_shi
Q19376756		ML_RHETORIC_KAIROS	kairos	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek) [_καιρός_](https://en.wiktionary.org/wiki/%CE%BA%CE%B1%CE%B9%CF%81%CF%8C%CF%82#Ancient_Greek) (kairós). Generally means "timing" or "the right circumstances."	https://en.wiktionary.org/wiki/kairos
		ML_RHETORIC_KOINOI-TOPOI	koinoi topoi	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). Common topics; in a rhetoric situation, useful arguments and strategies.	https://en.wiktionary.org/wiki/koinoi_topoi
Q60790563		ML_RHETORIC_KOLAKEIA	kolakeia	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). Flattery; telling people what they want to hear while disregarding their best interests; employed by sophistic rhetoricians.	https://en.wiktionary.org/wiki/kolakeia
Q13624084		ML_RHETORIC_LEXIS	Lexis	Style.	https://en.wiktionary.org/wiki/lexis
Q12139612		ML_RHETORIC_LIST	list		
		ML_RHETORIC_LITERAE-HUMANAE	literae humanae	Academic disciplines that are known as the liberal arts: languages, philosophy, history, literature, music, art and certain abstact sciences.	https://en.wiktionary.org/wiki/literae_humanae
Q1149297		ML_RHETORIC_LOCALISM	localism	A word, phrase, or custom particular to one's location.	https://en.wiktionary.org/wiki/localism
Q1542696		ML_RHETORIC_LOCI-COMMUNES	loci communes	Types of arguments. [Quintilian](https://en.wikipedia.org/wiki/Quintilian) trained orators to learn intellectual habits to access the arguments quickly.	https://en.wiktionary.org/wiki/loci_communes
Q3257782		ML_RHETORIC_LOCUTION	locution	Refers to the utterance of a statement.	https://en.wiktionary.org/wiki/locution
Q193627		ML_RHETORIC_LOGICAL-POSITIVISM	logical positivism	The effort to make scientific standards applicable for resolving all issues.	https://en.wiktionary.org/wiki/logical_positivism
		ML_RHETORIC_LOGICAL-PROOF	logical proof	Arguments used to persuade audience. Reasoned.	https://en.wiktionary.org/wiki/logical_proof
Q17113456		ML_RHETORIC_LOGOLOGY	logology	Kenneth Burke. Study of the specific theological terms used. Not to find the truth or falseness of the statement, but why that particular word was chosen.	https://en.wiktionary.org/wiki/logology
Q180832		ML_RHETORIC_LOGOS	logos	Rhetorical appeals based on logic or reasoning.	https://en.wiktionary.org/wiki/logos
Q1549475		ML_RHETORIC_MAGNANIMITY	magnanimity	Doing good to others, "its opposite is meanness of spirit" (from [Aristotle](https://en.wikipedia.org/wiki/Aristotle)'s [_Rhetoric_](https://en.wikipedia.org/wiki/Rhetoric_(Aristotle))).	https://en.wiktionary.org/wiki/magnanimity
		ML_RHETORIC_MAJOR-PREMISE	major premise	Statement in a syllogism. Generalization.	https://en.wiktionary.org/wiki/major_premise
		ML_RHETORIC_MATERIAL-FALLACY	material fallacy	False notion concerning the subject matter of an argument.	https://en.wiktionary.org/wiki/material_fallacy
Q396447		ML_RHETORIC_MAXIM	maxim	A saying drawn from life, which shows concisely either what happens or ought to happen in life, for example: 'Every beginning is difficult.' (from [_Rhetorica ad Herennium_](https://en.wikipedia.org/wiki/Rhetorica_ad_Herennium))	https://en.wiktionary.org/wiki/maxim
Q3278958		ML_RHETORIC_MEIOSIS	meiosis	A figure of speech in which a word or phrase diminutively substitutes as a reference for something actually of a greater nature.	https://en.wiktionary.org/wiki/meiosis
Q492		ML_RHETORIC_MEMORY	memory	Described by [Cicero](https://en.wikipedia.org/wiki/Cicero) as the "firm mental grasp of matter and words;" the fourth of his five rhetorical canons.	https://en.wiktionary.org/wiki/memory
		ML_RHETORIC_META-NARRATIVES	meta-narratives	Universal theories positing to know all aspects of humanity.	https://en.wiktionary.org/wiki/meta-narratives
Q18534		ML_RHETORIC_METAPHOR	metaphor	A figure of speech where a word that normally applies to one thing is used to designate another for the sake of creating a mental picture. For example (from [_Rhetorica ad Herennium_](https://en.wikipedia.org/wiki/Rhetorica_ad_Herennium)), "'...he lightly breathed a favoring breath'".	https://en.wiktionary.org/wiki/metaphor
Q1760396		ML_RHETORIC_METRON	Metron	From [Ancient Greek](https://en.wikipedia.org/wiki/Ancient_Greek). Measure.	https://en.wiktionary.org/wiki/metron
Q169534		ML_RHETORIC_MILITARY-DIVISION	military division		
Q103610094		ML_RHETORIC_MINOR-PREMISE	Minor Premise	Statement in an argument.	https://en.wiktionary.org/wiki/minor_premise
